snapshot_date,sr_pct,hb_pct,n_stocks,retail_shares,total_shares
2026-04-30,9.875231427006884,51.47313287380948,2926,65235153432.0,1001511644686.0
2026-05-08,9.888384057278513,51.48398680376288,2928,64802396775.0,1001608407977.0
2026-05-15,9.91479806486894,51.4859532843813,2930,64952117936.0,1002330904676.0
2026-05-22,9.901697779313588,51.54173454773938,2933,64998750658.0,1002635401621.0
2026-05-29,9.916876162829414,51.58086326455319,2934,65146693834.0,1003296714302.0
2026-06-05,9.991016100361854,51.55181053421224,2934,65938426991.0,1003416115209.0
2026-06-12,10.029502384213588,51.50071201282012,2938,66769215278.0,1003743488819.0
2026-06-18,10.03141801866358,51.51317734031623,2939,66482935291.0,1004235764648.0
2026-06-26,10.05220405898827,51.54142157816123,2943,66793319328.0,1004384933800.0
2026-07-03,10.063935928050832,51.48136941591259,2944,67195304245.0,1004493350966.0
2026-07-09,10.104852940009872,51.39998620955783,2943,67649425269.0,1004586639583.0
2026-07-17,10.091193005697923,51.4170956842379,2947,67721019094.0,1005338720994.0
